Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
52000,2020-07-09 01:31:16,3573030041201292,fraud_Bahringer-Larson,grocery_net,29.99,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",1990-01-17,75888eaf4981e1cb9a8fac81ae1ee1b9,1373333476,41.272155,-110.992684,0
52001,2020-07-09 01:31:23,376028110684021,"fraud_Kuhic, Bins and Pfeffer",shopping_net,88.38,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,b39ca30f99c5ad817f6af44f3606ed35,1373333483,39.96158,-94.089179,0
52002,2020-07-09 01:32:14,4070511711385545,"fraud_Baumbach, Feeney and Morar",shopping_net,8.46,Stephanie,Hopkins,F,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",1967-04-09,32918e862b9bc45ee6ee024b67b85d83,1373333534,27.993418,-97.912019,0
52003,2020-07-09 01:32:17,3560725013359375,fraud_Bogisich-Homenick,misc_net,4.83,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1969-09-15,64bbebab804c375b2d071d6d412b3e1b,1373333537,32.528953,-101.741955,0
52004,2020-07-09 01:32:23,4063094974360571498,fraud_Bauch-Raynor,grocery_pos,134.39,Patricia,Mendoza,F,1683 Davidson Freeway,Mendon,UT,84325,41.71,-111.9817,2078,"Scientist, audiological",1963-06-13,5ed6f625544308dedc52f7fb0688ebc3,1373333543,41.910678,-111.001165,0
52005,2020-07-09 01:32:37,3576431665303017,fraud_Halvorson Group,misc_pos,5.48,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1981-10-24,95571db0106717633edd487c34e35984,1373333557,33.803171,-111.736722,0
52006,2020-07-09 01:37:10,6011231546538393,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,67.11,Johnny,Bennett,M,321 Camacho Causeway,Boonton,NJ,7005,40.9115,-74.414,15269,"Psychologist, sport and exercise",1993-07-05,6d1f2c6badebc4373f4b6262b0b79d15,1373333830,40.952482,-74.043911,0
52007,2020-07-09 01:39:27,4769426683924058915,"fraud_Tillman, Dickinson and Labadie",gas_transport,79.87,Andrea,Cruz,F,26572 Hodge Villages Suite 512,Mifflin,PA,17058,40.5553,-77.4001,1909,Mining engineer,1954-08-22,b3b472fa01e2501c296fda210131e9f0,1373333967,41.241877,-77.547535,0
52008,2020-07-09 01:39:28,4550599031376731,"fraud_Lind, Huel and McClure",gas_transport,44.73,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,1968-05-29,0314ce4a90347641b35ccf4c9f8da08b,1373333968,41.155323,-83.41222900000001,0
52009,2020-07-09 01:39:51,571465035400,fraud_Macejkovic-Lesch,shopping_pos,114.59,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,1e3ac76661718364c2700a418209e7bb,1373333991,42.457145,-108.993269,0
52010,2020-07-09 01:40:23,4989847570577635369,fraud_Koss and Sons,gas_transport,63.68,Vanessa,Anderson,F,21178 Brittney Locks,Prosperity,SC,29127,34.1832,-81.5324,8333,Archaeologist,1994-07-09,df93e58d4bab7902d51a2c121de5a9f6,1373334023,34.92111,-81.61688000000001,0
52011,2020-07-09 01:40:27,3526826139003047,fraud_Harber Inc,gas_transport,69.3,Nathan,Massey,M,5783 Evan Roads Apt. 465,Falmouth,MI,49632,44.2529,-85.01700000000001,1126,Furniture designer,1955-07-06,c2bec2f8233d366a0f06893fb47e3dc1,1373334027,44.768558,-85.858696,0
52012,2020-07-09 01:41:34,3518669219150142,fraud_Corwin-Collins,gas_transport,44.51,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.23299999999999,31394,Hospital doctor,1996-11-12,69859dc526f45ff93f0ebbac142abc9c,1373334094,39.935277,-83.88543299999999,0
52013,2020-07-09 01:42:27,60490596305,fraud_Ruecker Group,misc_net,9.35,Karen,Johnson,F,4349 Anna Flat Suite 214,Haynes,AR,72341,34.8838,-90.7666,222,"Programmer, applications",1963-05-19,bf54e620701c6545efee98671e3f3d77,1373334147,34.041558,-91.248887,0
52014,2020-07-09 01:42:46,4607072969078276,fraud_Kuphal-Predovic,misc_net,9.45,Brenda,Perez,F,033 Tara Brook Suite 523,Coyle,OK,73027,35.8985,-97.2607,1493,Amenity horticulturist,1985-03-21,92df1fa56813f61e3b5e450cb04c07b0,1373334166,36.016532,-97.46511,0
52015,2020-07-09 01:44:35,213112402583773,fraud_Friesen-Stamm,gas_transport,72.43,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,1944d849ab8c88593c76050864581ed0,1373334275,34.923902000000005,-81.229461,0
52016,2020-07-09 01:44:48,4265776278887457,fraud_Brown PLC,misc_net,5.23,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,413be43d4bd7080f586d56cef3597417,1373334288,35.242828,-93.157425,0
52017,2020-07-09 01:45:34,4922710831011201,fraud_Mraz-Herzog,gas_transport,54.36,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,9a63a37e52949f8ffdba61df7ef1bc61,1373334334,40.340988,-80.437687,0
52018,2020-07-09 01:47:03,343668971234893,"fraud_Terry, Johns and Bins",misc_pos,457.16,Sally,Moore,F,835 Reese Views Suite 884,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,1949-11-16,3745367f8ee0f415097eec2dd6c73e30,1373334423,33.779403,-81.68584,0
52019,2020-07-09 01:47:16,2383461948823908,fraud_Volkman-Predovic,shopping_net,7.39,Patrick,Vaughan,M,651 Miller Common,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,1956-03-02,86e001594ed512bd1ed48cca2cd57c36,1373334436,43.931098,-70.909775,0
52020,2020-07-09 01:48:26,379897244598068,"fraud_Turcotte, McKenzie and Koss",entertainment,7.93,Frank,Key,M,5537 Jessica Plaza,Pewee Valley,KY,40056,38.3039,-85.4834,3263,Stage manager,1930-02-28,a7213ba87a8aff7aeed4c31af2e7c05c,1373334506,38.158155,-86.426583,0
52021,2020-07-09 01:48:46,4334230547694630,"fraud_Huel, Hammes and Witting",grocery_pos,107.66,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,8dd03ecfc86121c0d457f5bf833a9ce2,1373334526,42.712762,-111.069795,0
52022,2020-07-09 01:50:02,4587577161160601,"fraud_Rutherford, Homenick and Bergstrom",grocery_net,49.7,Tina,Lawrence,F,12444 Jacob Pines,Nobleboro,ME,4555,44.0943,-69.4828,1643,Financial trader,1976-04-12,02a4611ff76b1d140a7a81e222f0e007,1373334602,44.015428,-70.13152,0
52023,2020-07-09 01:50:14,4755696071492,fraud_Heller-Langosh,gas_transport,65.08,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,1985-06-20,aca85d2038ee3407f34872f97b7ffc3c,1373334614,32.527309,-96.031612,0
52024,2020-07-09 01:50:42,180040027502291,fraud_Smith-Stokes,misc_pos,84.6,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1957-12-29,28413c76858b322ef5cb02aa8c156771,1373334642,40.298211,-74.34055,0
52025,2020-07-09 01:51:50,3565943051129759,"fraud_Lehner, Reichert and Mills",misc_pos,24.26,David,Thomas,M,838 Dan Haven Suite 003,Webster City,IA,50595,42.4657,-93.8262,9165,Medical secretary,1963-05-23,b554770ee72d27cfd418ebbbe44b816f,1373334710,41.714966,-93.833479,0
52026,2020-07-09 01:51:51,4836998673805450,"fraud_Lehner, Reichert and Mills",misc_pos,40.78,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,1979-04-12,be40b800229520baeac6eb3ccd95c1bb,1373334711,46.706528000000006,-85.441965,0
52027,2020-07-09 01:52:58,372382441451095,"fraud_Ferry, Lynch and Kautzer",misc_net,1.85,Brent,Terrell,M,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966-01-21,5dac0b2d6d7a6d6bd101d9e740e02bf0,1373334778,41.009391,-74.106397,0
52028,2020-07-09 01:53:32,6538891242532018,fraud_Barton Inc,grocery_pos,230.34,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,ba6b9537e8b98ca3ccff777408b70b70,1373334812,36.251317,-91.651263,0
