Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
22000,2020-06-28 23:44:26,4228411452607671,"fraud_Daugherty, Pouros and Beahan",shopping_pos,1.5,Aaron,Stewart,M,400 Zuniga Pine,Winthrop,ME,4364,44.3229,-69.9576,6025,Advertising account planner,1995-04-22,1b3e37997f21631943f8a6db14e2f4e5,1372463066,44.801594,-70.128327,0
22001,2020-06-28 23:44:26,4450831335606294,fraud_Kessler Group,travel,3.05,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,1972-01-20,6b249071b45f1371f7bc98d37be3f24a,1372463066,35.062407,-96.092556,0
22002,2020-06-28 23:45:14,6011104316292105,fraud_Bins-Howell,personal_care,24.84,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1985-09-02,a0bf9860ae79c92f0febbe94636cb341,1372463114,36.501917,-79.282028,0
22003,2020-06-28 23:45:44,4745996322265,fraud_Morissette PLC,shopping_pos,104.34,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,a42a2e7330e24c9d12e848143052ec44,1372463144,41.330194,-86.73705,0
22004,2020-06-28 23:45:47,4497451418073897078,fraud_Jacobi Inc,health_fitness,136.46,Elizabeth,Glover,F,246 Stewart Green Suite 149,West Monroe,LA,71291,32.5317,-92.176,54185,"Radiographer, diagnostic",1992-11-20,e987877171cbbf0e35566a98f5f712dd,1372463147,33.378506,-92.510132,0
22005,2020-06-28 23:46:02,4906628655840914250,fraud_Breitenberg-Hermiston,kids_pets,54.68,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,1987-02-13,23352d5f5897baf0eb9b9de176e8a387,1372463162,23.986844,-82.13255799999999,0
22006,2020-06-28 23:46:09,4452366298769043,fraud_Kirlin and Sons,personal_care,101.65,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,1978-03-04,f3b4a827654750ec18f3c2588ad603dc,1372463169,32.006394,-95.74843,0
22007,2020-06-28 23:47:23,4173950183554608,fraud_Fahey Inc,kids_pets,71.39,Stephen,Marshall,M,47144 Roberts Keys,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,1978-10-05,ea8497705ba734bafd1e2cbeacf6e979,1372463243,39.536292,-74.460211,0
22008,2020-06-28 23:47:24,213125815021702,"fraud_Gutmann, McLaughlin and Wiza",home,10.53,Adam,Kirk,M,40847 Stark Junctions,Big Indian,NY,12410,42.074,-74.453,397,Psychiatrist,1931-09-12,d5c06ebdd481d8499b63ffdad897808a,1372463244,42.544994,-74.20616,0
22009,2020-06-28 23:47:28,4294930380592,"fraud_Kihn, Brakus and Goyette",personal_care,3.83,Misty,Rivera,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1940-08-23,c86a6a324b055cdccde6614a08376e37,1372463248,38.360015,-80.223839,0
